[-24.213175,5.595254] 20
[21.859302,11.6696315] 30
[7.539146,7.120074] 30
[-25.614021,-14.6487035] 30
[-51.329292,10.614096] 30
[-171.234532,-11.3101985] 40
[43.80066,-28.202932] 40
[59.837413,-25.2665095] 40
[178.781338,-1.9897275] 40
[-152.570944,-33.660809] 40
[86.657843,-1.8798415] 40
[11.091314,-40.3295845] 40
[136.701896,1.029275] 40
[144.78443,35.8981545] 40
[-110.230304,-9.587235] 40
[42.490936,1.7837785] 40
[52.390288,-15.485849] 40
[121.128643,31.017803] 40
[121.929032,-14.943149] 40
[-142.270474,25.173166] 40
[-97.52384,-12.2651605] 40
[-169.229963,26.4579685] 40
[54.764225,-2.474531] 40
[-124.05351,-13.6232955] 40
[105.621481,11.1104125] 40
[142.393205,15.965442] 40
[117.019068,30.658031] 40
[-112.594995,8.8238385] 40
[74.314289,-18.7168615] 40
[-109.268404,11.8313625] 40
[-0.999652,-36.6261815] 40
[97.050402,-2.7606075] 50
[125.681058,-9.521994] 50
[37.110722,-16.8819655] 50
[42.704778,-18.5715585] 50
[-11.729661,-4.331086] 50
[-11.995945,8.249589] 50
[-22.263897,0.4199445] 50
[-25.785847,-15.0517645] 50
[4.45913,19.6967125] 50
[-136.716087,13.613717] 50
[131.448473,42.916539] 50
[-46.58241,-3.659966] 50
[34.107753,6.4117865] 50
[3.903436,-12.016203] 50
[-39.787751,7.317488] 50
[-163.359531,22.1067735] 50
[-44.043342,-5.6467945] 50
[-167.737611,-27.2340175] 50
[-128.523101,-30.142553] 50
[119.401552,-14.164079] 50
[-133.410167,30.0636405] 50
[-153.6275,-9.7146165] 50
[138.835903,18.3221945] 50
[-132.559492,26.6199885] 50
[0.121264,-20.9651255] 50
[121.31766,-4.197298] 50
[-51.581065,40.5234305] 50
[-25.526098,12.2213225] 50
[9.704621,-24.748085] 50
[-114.876916,0.8690405] 50
[155.589447,-6.047562] 50
[-84.413605,29.1205825] 50
[128.705696,-4.0209175] 60
[-35.76147,9.1193335] 60
[151.96172,-8.442174] 60
[145.640553,15.985656] 60
[-83.70924,-15.9439855] 60
[-176.309453,-13.352414] 60
[163.269427,6.746768] 60
[64.950117,-3.8555675] 60
[-179.665456,-14.545063] 60
[-173.090863,10.698314] 60
[170.794296,8.4905155] 60
[160.27557,-23.6972735] 60
[-60.064285,-11.1469235] 60
[65.248628,41.226328] 60
[-175.780131,-14.095906] 60
[-131.345024,-8.826536] 60
[-97.816226,8.719787] 60
[-62.829946,2.613104] 60
[-119.493333,-13.976854] 60
[-164.436286,22.995123] 60
[-35.676599,-0.522741] 60
[139.387693,-5.846954] 60
[-69.333487,2.651813] 60
[-163.013814,30.6061155] 60
[138.912862,19.3050885] 60
[132.319186,30.127206] 60
[-143.814747,32.3885625] 60
[-126.330598,-24.082793] 60
[3.57755,-0.8870225] 60
[-27.735257,-14.9548485] 60
[122.452989,30.211758] 60
[131.313968,-12.5339925] 60
[116.395519,-51.6884195] 60
[179.18885,-14.223608] 60
[-69.900436,17.2870385] 60
[-88.023758,27.093743] 60
[-37.959997,-18.3155475] 60
[-100.279795,-15.293797] 60
[-96.42569,-12.6677675] 60
[-37.50116,-20.341548] 60
[96.41395,19.2118645] 60
[156.598021,-9.182572] 60
[-34.574113,3.659975] 60
[-124.414398,-3.290742] 60
[-156.083783,1.9288835] 60
[-167.4151,19.6073125] 60
[74.89325,-18.035968] 60
[21.302828,26.6428205] 60
[-165.125387,-28.5177565] 60
[85.772781,-32.328701] 60
[67.249997,-2.1755565] 60
[-8.183067,-17.41293] 60
[59.26681,11.361359] 60
[-124.94011,2.5774] 60
[50.887116,2.765721] 70
[-80.346191,27.7846495] 70
[-131.817299,-22.9186405] 70
[107.698287,-56.770575] 70
[-20.024631,-33.130843] 70
[-125.516687,19.6391645] 70
[-2.374216,-13.1590055] 70
[125.910188,-36.5020845] 70
[132.976329,-24.651651] 70
[-28.269027,-27.1102875] 70
[148.233201,18.0658705] 70
[-139.114202,-31.291191] 70
[-139.01214,6.7015525] 70
[-122.969858,1.7291085] 70
[-3.017948,-17.4717915] 70
[61.568738,44.595919] 70
[108.585262,-24.055444] 70
[-69.65977,-10.223955] 70
[78.136554,1.3493125] 70
[4.491539,-35.893639] 70
[22.715168,1.7069575] 70
[-51.06531,-18.4941605] 70
[116.037635,-51.506388] 70
[-33.331909,4.316098] 70
[125.362476,-3.8820985] 70
[4.006503,37.9457295] 70
[141.708432,-27.744342] 70
[28.854207,-25.3332505] 70
[101.679329,4.7720375] 70
[113.576596,-52.4486105] 70
[136.478616,1.8237565] 70
[-48.72083,-16.8365055] 70
[-162.679388,21.838157] 70
[-68.713747,-23.61113] 70
[-167.422131,-13.4355315] 70
[118.996306,-3.8332785] 70
[-119.85226,-6.920382] 70
[-174.40844,22.0609525] 70
[-177.428596,16.7915175] 70
[154.792289,29.383276] 70
[-82.589611,-22.4219505] 70
[140.513789,15.660897] 70
[-114.805515,-9.1273115] 70
[148.591733,-25.2715375] 70
[-51.510761,-5.843683] 70
[-20.695893,-18.021316] 70
[116.405061,-53.0710415] 70
[-167.683538,-2.446826] 70
[148.315283,45.228353] 70
[161.729999,9.877669] 70
[5.876146,-49.329383] 70
[112.606246,3.429845] 70
[161.445115,-8.155588] 70
[-135.031735,-36.4474105] 70
[-158.995097,-1.4022855] 70
[21.300357,-0.1059605] 70
[122.516447,-3.98844] 70
[-157.209662,25.198644] 70
[-22.892339,-25.5022] 70
[140.818143,6.105006] 70
[-102.11434,26.536869] 70
[125.239912,-3.358283] 70
[-160.915731,32.0677435] 70
[121.94325,21.1943145] 70
[3.642299,19.7237705] 70
[131.129902,-21.746539] 70
[-32.233245,-13.889532] 70
[41.560379,-11.4082885] 70
[83.865494,9.519058] 70
[119.248991,-2.508615] 70
[-170.691064,-25.6331475] 70
[104.737591,8.585554] 70
[28.750748,-3.6261395] 70
[-100.71425,-14.1412445] 70
[30.856147,19.7769485] 70
[87.450781,4.8247345] 70
[124.749617,-28.156186] 70
[27.191298,13.3599535] 70
[66.620712,26.7797795] 70
[76.285929,16.3780005] 70
[56.84174,-24.7186805] 70
[-153.514619,-21.167423] 80
[-66.890397,-33.1715645] 80
[-54.424842,32.052308] 80
[-144.852157,-15.8665635] 80
[59.826864,19.3191645] 80
[-54.355469,-15.432736] 80
[60.870978,14.938102] 80
[78.038384,9.527507] 80
[-135.122748,-55.5477875] 80
[-163.937212,21.743448] 80
[164.324217,9.538947] 80
[-107.858764,27.0970995] 80
[84.334422,-7.470946] 80
[-107.658093,-29.6016625] 80
[-12.55812,21.0495235] 80
[161.606041,-40.1279535] 80
[68.163306,-13.5321635] 80
[-17.528561,-12.462861] 80
[7.08517,11.7517155] 80
[33.984187,31.3533215] 80
[-102.447577,28.1949695] 80
[-32.137895,-14.910167] 80
[43.019826,0.6401945] 80
[36.54107,0.208538] 80
[-5.421725,42.067424] 80
[116.565591,7.341718] 80
[138.95454,13.1782255] 80
[22.722909,-5.4907795] 80
[70.613614,26.7307445] 80
[-82.426539,18.27006] 80
[108.881273,34.1700555] 80
[122.956224,40.1715885] 80
[126.149646,-25.1214285] 80
[78.119124,32.013287] 80
[-19.951388,-18.6852685] 80
[151.458273,7.943671] 80
[-151.404602,-11.9699155] 80
[-54.757963,0.3651335] 80
[113.122048,11.921591] 80
[154.664019,-6.534341] 80
[70.760849,-7.589165] 80
[2.425868,-14.680397] 80
[167.372842,2.8520835] 80
[33.825155,4.919529] 80
[-160.930575,-11.07132] 80
[8.054793,-23.001989] 80
[-41.604996,10.216809] 80
[-106.556716,19.9936385] 80
[-176.7197,12.4201445] 80
[22.370221,-14.797446] 80
[20.29096,15.035414] 80
[-30.179532,-46.420398] 80
[-167.354037,31.640076] 80
[4.753313,-29.6554055] 80
[-105.94433,20.024821] 80
[21.324638,-31.0506625] 80
[48.002204,0.619145] 80
[88.604033,-33.4485835] 80
[-101.657216,-17.0664425] 80
[12.272907,-4.194986] 80
[-42.756639,4.197434] 80
[70.105204,-7.1358615] 80
[-173.878871,12.655761] 80
[24.682106,36.49465] 80
[-75.877007,-0.070486] 80
[-18.34904,18.6926025] 80
[-31.448759,-16.546275] 80
[112.627969,29.543713] 80
[172.170526,-8.0727695] 80
[-173.332052,12.7470195] 80
[7.041419,-3.619011] 80
[73.334497,18.9394475] 80
[63.65635,4.0396145] 80
[-135.717557,25.471303] 80
[67.833475,-6.166299] 80
[169.606708,31.1043215] 80
[89.092838,23.347171] 80
[135.467128,-18.261198] 80
[142.574774,-17.746261] 80
[152.938256,-5.1016165] 80
[12.525859,14.0536465] 80
[-167.586159,-20.7487945] 80
[50.65768,-23.653011] 80
[-105.062184,34.9724585] 80
[-17.451372,-30.6069375] 80
[77.706661,-12.1863015] 80
[-47.109417,-29.380052] 80
[-149.965441,28.6016155] 80
[-48.058235,34.650594] 80
[-170.985998,19.266132] 80
[64.4571,-0.62304] 80
[-66.810318,2.7058045] 80
[-128.717905,-9.2356605] 80
[-134.307419,-34.0421195] 80
[46.084275,40.023786] 80
[-147.417065,17.4327575] 80
[93.799853,-19.9868465] 80
[-40.529009,-4.364149] 80
[-21.030036,-23.69055] 80
[-127.770948,37.047548] 80
[-126.207504,-28.8359785] 80
[156.734776,7.8513345] 80
[7.486032,-9.520048] 80
[160.848723,9.3320485] 80
