[174.847732,82.4868485] 10
[7.137618,-72.8441335] 10
[31.884941,-84.729949] 10
[62.912302,-40.66503] 10
[-1.277402,63.8706465] 10
[-78.422239,81.795498] 10
[-169.725663,-82.50216] 10
[-9.791302,-10.5050315] 10
[86.519836,-27.5875005] 10
[-90.516396,-64.5279425] 10
[23.405716,-78.7391385] 10
[-29.524437,76.575016] 10
[174.928368,85.7756195] 10
[-86.273317,-59.574777] 10
[47.844274,68.764216] 10
[28.854207,-25.3332505] 10
[-75.873797,41.7790935] 10
[160.27557,-23.6972735] 10
[168.507817,-43.980471] 10
[137.949996,-27.7300745] 10
[125.236828,80.328762] 10
[96.364541,78.6950565] 10
[15.405147,-74.2785225] 10
[-21.784364,73.8804485] 10
[-62.549936,7.507926] 10
[147.995673,-54.0711] 10
[-23.680588,-83.9583915] 10
[77.747864,48.286705] 10
[-131.073573,-59.712645] 10
[-160.930575,-11.07132] 10
[71.651218,84.106866] 10
[-9.898614,73.4227105] 10
[158.165548,-8.0376825] 10
[71.770893,45.4573325] 10
[-45.479528,70.1150035] 10
[-133.071091,-72.7657805] 10
[115.272082,71.924135] 10
[55.001385,23.7541155] 10
[-18.873607,-6.9137665] 10
[-71.728129,-54.635983] 10
[-53.927007,-18.679844] 10
[82.643894,-53.5956625] 10
[58.864637,-64.8722115] 10
[-124.94011,2.5774] 10
[59.258953,-14.557843] 10
[-176.364221,-66.4146365] 10
[176.9336,0.0943465] 10
[47.412407,-67.585085] 10
[81.764694,54.877811] 10
[5.104532,52.9895085] 10
[65.074256,-61.696146] 10
[-34.000245,-59.2848635] 10
[130.466922,-82.9423225] 10
[166.920189,49.485508] 10
[-59.263956,-12.9839085] 10
[-138.364024,50.98442] 10
[-85.552467,-69.292991] 10
[-58.6738,-87.34213] 10
[95.386139,18.8619995] 10
[129.614936,36.0456635] 10
[126.111493,-50.3950035] 10
[-79.369587,-51.8714025] 10
[130.051927,-51.906621] 10
[-66.609718,-62.4074475] 10
[-138.249706,53.555673] 10
[92.778768,-48.783874] 10
[-144.001137,-32.750015] 10
[-39.180307,-86.1620155] 10
[-168.00238,36.916654] 10
[162.064747,-38.880568] 10
[-7.694574,-44.5612795] 10
[81.519371,-35.517542] 10
[172.165087,58.47111] 10
[3.843534,70.3251255] 10
[46.178211,44.502177] 10
[-147.199654,45.741613] 10
[-178.328483,-31.4487115] 10
[-96.068921,75.125754] 10
[166.610462,-36.1852555] 10
[-174.40844,22.0609525] 10
[91.369269,-76.625451] 10
[7.275538,83.5863365] 10
[-53.839294,-49.7655795] 10
[-10.877072,13.7985535] 10
[130.387599,-10.9484145] 10
[171.078697,-81.0697935] 10
[102.849846,70.3077925] 10
[-178.16553,-52.1021825] 10
[82.867196,-45.1152475] 10
[-96.764018,-28.7182605] 10
[45.47482,-50.325719] 10
[-178.054746,-39.5891845] 10
[145.942033,-68.3250235] 10
[-155.524487,-84.077441] 10
[-80.217241,-79.237315] 10
[-117.028159,26.9603045] 10
[53.890785,-84.037433] 10
[-102.109438,14.24561] 10
[-35.466743,-81.8795005] 10
[157.870963,-4.50171] 10
[-31.677418,51.878547] 10
[35.93211,-34.795656] 10
[118.485025,19.523262] 10
[-32.663163,-85.1474725] 10
[-170.966737,81.254338] 10
[-160.413148,70.6613915] 10
[57.360789,3.686483] 10
[70.179283,85.921195] 10
[139.442609,33.0211825] 10
[-82.341586,83.6173885] 10
[87.846631,-60.3792545] 10
[7.420231,30.4973285] 10
[53.609615,52.0544295] 10
[-71.380565,78.4200115] 10
[71.79447,59.3526985] 10
[110.748736,1.798751] 10
[48.344215,66.58004] 10
[-18.212835,67.1997865] 10
[112.264128,-8.841383] 10
[177.978923,86.512292] 10
[48.597231,72.803896] 10
[-167.483038,-40.2156125] 10
[133.484182,-75.4309805] 10
[0.05454,-80.2615865] 10
[120.057882,45.752576] 10
[165.996319,-36.1889245] 10
[-104.166546,-70.440259] 10
[173.397245,-60.773242] 10
[2.908245,-5.7113665] 10
[-73.928138,-14.130664] 10
[15.23627,-80.015842] 10
[-23.484875,-69.174367] 10
[71.304328,-9.605137] 10
[171.258008,6.179332] 10
[37.581479,77.068415] 10
[151.458273,7.943671] 10
[76.024551,-66.3578245] 10
[50.499774,38.3105475] 10
[63.469568,81.4312835] 10
[12.615479,-78.958704] 10
[41.721381,78.405027] 10
[-160.335749,-72.2768] 10
[-39.559942,21.1579125] 10
[15.328619,87.9529685] 10
[-55.236225,-9.3730705] 10
[-3.820271,14.8522515] 10
[-113.388159,-72.3423755] 10
[-110.321881,-71.707687] 10
[72.152767,22.3089515] 10
[-78.443866,77.5608555] 10
[-47.966278,-81.506494] 10
[-94.153244,-5.546812] 10
[-28.033344,71.6006235] 10
[-127.597278,-80.8773355] 10
[35.760038,-4.303565] 10
[89.799886,-49.7902555] 10
[-178.703807,-16.6243965] 10
[58.017304,-86.0682325] 10
[-165.687921,52.5336005] 10
[-89.553735,-46.923989] 10
[-135.748754,-75.3497495] 10
[-137.581001,34.4328835] 10
[54.192221,36.24999] 10
[-51.900332,69.3331405] 10
[-130.108851,77.292154] 10
[-148.433416,-80.19847] 10
[110.065233,-27.508474] 10
[-122.177929,-64.8891615] 10
[-123.572102,-84.281827] 10
[81.401746,-31.467364] 10
[-173.681139,38.058307] 10
[-137.601649,-76.122186] 10
[-71.589587,-84.7901085] 10
[-40.781984,73.006988] 10
[60.012135,87.7568865] 10
[148.459715,38.2753765] 10
[-74.555035,-70.9986895] 10
[50.887116,2.765721] 10
[-50.438478,85.5354455] 10
[-104.360329,-48.379802] 10
[133.251193,-16.4762655] 10
[135.568837,73.5326715] 10
[60.743051,3.1526855] 10
[-0.687909,-33.2152795] 10
[-40.833492,74.604865] 10
[14.071632,-14.1076015] 10
[-78.349336,-86.3145305] 10
[8.072962,67.8286885] 10
[-44.643211,67.7525325] 10
[32.663617,-52.080646] 10
[-15.473848,-72.1624465] 10
[20.813758,42.7704245] 10
[-170.109511,-85.72992] 10
[164.20334,76.148373] 10
[4.442349,45.3298495] 10
[57.828783,32.595171] 10
[44.74086,24.905266] 10
[49.189793,45.9390555] 10
[-64.711719,53.0184115] 10
[-81.122586,72.2482365] 10
[31.003519,53.592872] 10
[79.328346,-49.2366335] 10
[78.221696,-16.43855] 10
[-68.865152,-2.6393705] 10
[-130.864155,59.912064] 10
[50.110939,-10.853065] 10
[-141.07925,-54.344568] 10
[-127.202844,72.463636] 10
[105.359306,-73.868459] 10
[-169.589864,36.7539315] 10
[13.071733,81.2938715] 10
[-139.01214,6.7015525] 10
[75.548998,66.322291] 10
[-80.527642,-82.64368] 10
[-110.230304,-9.587235] 10
[102.238589,-60.723464] 10
[-3.473065,11.72034] 10
[-47.109417,-29.380052] 10
[37.77638,62.6861355] 10
[62.948682,20.7747765] 10
[-124.454007,-19.1559945] 10
[-101.752318,-13.4444395] 10
[28.728656,86.159749] 10
